127.0.0.1 - - [14/Mar/2024:15:03:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:03:07 +0530] "GET /Advance-java-project/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:03:09 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:03:15 +0530] "GET /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:03:18 +0530] "GET /Advance-java-project/LoginView.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:03:50 +0530] "POST /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:03:50 +0530] "GET /Advance-java-project/Welcome.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:05:32 +0530] "GET /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:05:32 +0530] "GET /Advance-java-project/LoginView.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:05:44 +0530] "POST /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:05:44 +0530] "GET /Advance-java-project/Welcome.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:07:20 +0530] "GET /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:07:20 +0530] "GET /Advance-java-project/LoginView.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:09:54 +0530] "GET /Advance-java-project/ForwardRedirect.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:10:04 +0530] "POST /Advance-java-project/FirstServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:11:05 +0530] "POST /Advance-java-project/FirstServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:13:10 +0530] "GET /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:13:10 +0530] "GET /Advance-java-project/LoginView.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:13:19 +0530] "POST /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:13:19 +0530] "GET /Advance-java-project/Welcome.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:24:27 +0530] "GET /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:24:27 +0530] "GET /Advance-java-project/LoginView.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:24:35 +0530] "POST /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:24:35 +0530] "POST /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:24:35 +0530] "GET /Advance-java-project/Welcome.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:26:42 +0530] "GET /Advance-java-project/Welcome.jsp HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:36:29 +0530] "GET /Advance-java-project/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:36:29 +0530] "GET /Advance-java-project/LoginView.jsp HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [14/Mar/2024:15:40:56 +0530] "POST /Advance-java-project/LoginCtl HTTP/1.1" 200 522
